Price,Date
5480,24/08/2023
5480,24/08/2023
5484,24/08/2023
5484,25/08/2023
5484,25/08/2023
5477,25/08/2023
5477,26/08/2023
5477,26/08/2023
5482,26/08/2023
5482,27/08/2023
5482,27/08/2023
5482,27/08/2023
5482,28/08/2023
5482,28/08/2023
5482,28/08/2023
5482,29/08/2023
5510,29/08/2023
5510,30/08/2023
5510,30/08/2023
5547,30/08/2023
5547,31/08/2023
5547,31/08/2023
5548,31/08/2023
5548,01/09/2023
5548,01/09/2023
5547,01/09/2023
5547,02/09/2023
5547,02/09/2023
5550,02/09/2023
5550,03/09/2023
5550,03/09/2023
5550,03/09/2023
5550,04/09/2023
5550,04/09/2023
5550,04/09/2023
5550,05/09/2023
5550,05/09/2023
6887,05/09/2023
6887,06/09/2023
6887,06/09/2023
6887,06/09/2023
6887,07/09/2023
6887,07/09/2023
6887,07/09/2023
6887,08/09/2023
5501,08/09/2023
5503,08/09/2023
5503,09/09/2023
5503,09/09/2023
5504,09/09/2023
5504,10/09/2023
5504,10/09/2023
5504,10/09/2023
5504,11/09/2023
5504,11/09/2023
5504,11/09/2023
5504,12/09/2023
5504,12/09/2023
5506,12/09/2023
5506,13/09/2023
5506,13/09/2023
5509,13/09/2023
5509,14/09/2023
5509,14/09/2023
5504,14/09/2023
5398,15/09/2023
5398,15/09/2023
5398,15/09/2023
5398,16/09/2023
5398,16/09/2023
5398,16/09/2023
6918,21/09/2023
6918,22/09/2023
6918,22/09/2023
6919,22/09/2023
6919,23/09/2023
6919,23/09/2023
6919,23/09/2023
6919,24/09/2023
6919,24/09/2023
6919,24/09/2023
6919,25/09/2023
6919,25/09/2023
6919,25/09/2023
6919,26/09/2023
6919,26/09/2023
6920,26/09/2023
6920,27/09/2023
6920,27/09/2023
6923,27/09/2023
6923,28/09/2023
6923,28/09/2023
6923,28/09/2023
6923,29/09/2023
6923,29/09/2023
6923,29/09/2023
6923,30/09/2023
6923,30/09/2023
6923,30/09/2023
6923,01/10/2023
6923,01/10/2023
6923,01/10/2023
6923,02/10/2023
6923,02/10/2023
6924,02/10/2023
6924,03/10/2023
6922,03/10/2023
6922,04/10/2023
6922,04/10/2023
6923,04/10/2023
6923,05/10/2023
6923,05/10/2023
6923,05/10/2023
6923,06/10/2023
6923,06/10/2023
6709,06/10/2023
6700,07/10/2023
6700,07/10/2023
6700,07/10/2023
6707,10/10/2023
