Price,Date
5399,24/08/2023
5399,24/08/2023
5399,24/08/2023
5399,25/08/2023
5399,25/08/2023
5399,25/08/2023
5399,26/08/2023
5399,26/08/2023
5399,26/08/2023
5399,27/08/2023
5399,27/08/2023
5399,27/08/2023
5399,28/08/2023
5399,28/08/2023
5399,28/08/2023
5399,29/08/2023
5399,29/08/2023
5399,29/08/2023
5399,30/08/2023
5399,30/08/2023
5399,30/08/2023
5399,31/08/2023
5399,31/08/2023
5399,31/08/2023
5399,01/09/2023
5399,01/09/2023
5399,01/09/2023
5399,02/09/2023
5399,02/09/2023
5399,02/09/2023
5399,03/09/2023
5399,03/09/2023
5399,03/09/2023
5399,04/09/2023
5399,04/09/2023
5399,04/09/2023
5399,05/09/2023
5399,05/09/2023
5399,05/09/2023
5399,06/09/2023
5399,06/09/2023
5399,06/09/2023
5399,07/09/2023
5399,07/09/2023
5399,07/09/2023
5399,08/09/2023
5399,08/09/2023
5399,08/09/2023
5399,09/09/2023
5399,09/09/2023
5399,09/09/2023
5399,10/09/2023
5399,10/09/2023
5399,10/09/2023
5399,11/09/2023
5399,11/09/2023
5399,11/09/2023
5399,12/09/2023
5399,12/09/2023
5399,12/09/2023
5399,13/09/2023
5399,13/09/2023
5399,13/09/2023
5399,14/09/2023
5399,14/09/2023
5399,14/09/2023
5399,15/09/2023
5399,15/09/2023
5399,15/09/2023
5399,16/09/2023
5399,16/09/2023
5399,16/09/2023
5399,21/09/2023
5399,22/09/2023
5399,22/09/2023
5399,22/09/2023
5399,23/09/2023
5399,23/09/2023
5399,23/09/2023
5399,24/09/2023
5399,24/09/2023
5399,24/09/2023
5399,25/09/2023
5399,25/09/2023
5249,25/09/2023
5249,26/09/2023
5249,26/09/2023
5249,26/09/2023
5249,27/09/2023
5249,27/09/2023
5249,27/09/2023
5249,28/09/2023
5249,28/09/2023
5249,28/09/2023
5249,29/09/2023
5249,29/09/2023
5249,29/09/2023
5249,30/09/2023
5249,30/09/2023
5249,30/09/2023
5249,01/10/2023
5249,01/10/2023
5249,01/10/2023
5249,02/10/2023
5249,02/10/2023
5249,02/10/2023
5249,03/10/2023
5249,03/10/2023
5199,03/10/2023
5199,04/10/2023
5199,04/10/2023
5199,04/10/2023
5199,05/10/2023
5199,05/10/2023
5199,05/10/2023
5199,06/10/2023
5199,06/10/2023
5199,06/10/2023
5199,07/10/2023
5199,07/10/2023
5199,07/10/2023
5199,10/10/2023
